country,City,ClinicName,Latitude,Longitude,Address,Phone Number,Website,name,url
Austria,Graz,IVF Institut Dr. Steiner,47.0680491,15.454514,"Rechbauerstraße 49, 8010 Graz, Austria",0316 8340000,https://www.ivf-steiner.at/,IVF Kinderwunsch Institut Dr. Hans Peter Steiner,https://maps.google.com/?cid=14428845524286903688
Austria,Graz,Institut für Hormonstörungen Wechselbeschwerden und Kinderwunsch,47.0753707,15.4348469,"Kaiser-Franz-Josef-Kai 46, 8010 Graz, Austria",0316 8316500,https://www.ivf-institut.at/,"Institut bei Hormonstörungen,Wechselbeschwerden u Kinderwunsch",https://maps.google.com/?cid=10991729505833799259
Austria,Graz,Landeskrankenhaus Universitätsklinikum Graz,47.0793265,15.4654256,"Auenbruggerpl. 1, 8036 Graz, Austria",0316 3850,https://www.uniklinikumgraz.at/,University Hospital Graz,https://maps.google.com/?cid=6643460576565547402
Austria,Innsbruck,Universitätsklinik Innsbruck,47.2627019,11.3878384,"Anichstraße 35, 6020 Innsbruck, Austria",050 504,https://www.tirol-kliniken.at/page.cfm?vpath=standorte/landeskrankenhaus-innsbruck,Tirol Kliniken Innsbruck,https://maps.google.com/?cid=2790413766228867784
Austria,Innsbruck,Private Kinderwunschklinik Dr. Josef Zech GmbH,47.2648391,11.4385533,"Grabenweg 64, 6020 Innsbruck, Austria",0512 579124,https://www.kinderwunsch.at/,Private fertility clinic Zech,https://maps.google.com/?cid=7787361898799941994
Austria,Innsbruck,WOMED Therapiezentrum Kinderwunsch GmbH,47.2734059,11.3976539,"Karl-Kapferer-Straße 5, 6020 Innsbruck, Austria",0512 908022,https://www.womed.at/,WOMED Therapiezentrum Kinderwunsch GmbH,https://maps.google.com/?cid=11419026857533965868
Austria,Klagenfurt,Vivaneo Kinderwunschklinik Sterignost,46.6240041,14.2949775,"Linsengasse 46, 9020 Klagenfurt am Wörthersee, Austria",0463 890131,https://sterignost.com/,TFP Klagenfurt,https://maps.google.com/?cid=9462547681950410783
Austria,Krumpendorf,The Fertility Center Parkvilla,46.6209453,14.2152879,"Parkweg 1, 9201 Krumpendorf am Wörthersee, Austria",04229 2004,https://www.kinderwunsch-sterneck.at/,Privatkrankenanstalt Parkvilla GmbH,https://maps.google.com/?cid=2734811817302714942
Austria,Linz,"Kepler Universitätsklinikum GmbH – Med Campus IV,",48.3022031,14.3043702,"Med Campus IV, Krankenhausstraße 26, 4020 Linz, Austria",057 680 840,https://www.kepleruniklinikum.at/,"Kepler University Hospital, Med Campus IV.",https://maps.google.com/?cid=9162620421281301936
Austria,Oberpullendorf,A. ö. Krankenhaus Oberpullendorf,47.5073184,16.5096626,"Spitalstraße 32, 7350 Oberpullendorf, Austria",057 9793 4000,https://www.gesundheit-burgenland.at/oberpullendorf/,General public hospital Oberpullendorf,https://maps.google.com/?cid=7970462951038200734
Austria,Spital an der Drau,Kinderwunschinstitut Dr. Kaimbacher,46.8012725,13.4918875,"Feldstraße 5, 9800 Spittal an der Drau, Austria",04762 35611,https://kinderwunschinstitut-kaimbacher.at/,Dr. Martin Kaimbacher,https://maps.google.com/?cid=12626569166752611987
Austria,St. Pölten,Tiny Feet Kinderwunschklinik,48.2124422,15.6284795,"Mühlweg 29, 3100 St. Pölten, Austria",02742 41222,https://www.tinyfeet.at/,Tiny Feet Kinderwunschklinik St. Pölten,https://maps.google.com/?cid=8761704148443846509
Austria,Salzburg,IVF-Zentren Prof. Zech Salzburg GmbH,47.8040134,13.020191,"Innsbrucker Bundesstraße 35, 5020 Salzburg, Austria",0662 90105000,http://www.kinderwunsch-salzburg.at/,Next Fertility IVF Prof. Zech Salzburg,https://maps.google.com/?cid=10536459394482395135
Austria,Salzburg,Landeskrankenhaus Salzburg – Universitätsklinikum der PMU,47.80626,13.0329,"Müllner Hauptstraße 48, 5020 Salzburg, Austria",057 2550,https://salk.at/,Landeskrankenhaus Salzburg (SALK) - Universitätsklinikum der PMU,https://maps.google.com/?cid=2361138872053660697
Austria,Salzburg,Babywunsch-Klinik Dr. Zajc GmbH,47.78602,12.97713,"Bundesstraße 37, 5071 Wals, Austria",0662 856050,https://www.babywunsch-klinik.at/,Babywunsch-Klinik Dr Zajc GmbH,https://maps.google.com/?cid=7507157656061333674
Austria,Tulln,Kinderwunsch im Zentrum,48.3313591,16.0496461,"Brüdergasse 1/3/Top B1, 3430 Tulln an der Donau, Austria",02272 22270,https://www.kiz-tulln.at/,Kinderwunsch im Zentrum,https://maps.google.com/?cid=15605030409378690275
Austria,Wien,Allgemeines Krankenhaus der Stadt Wien,48.2205992,16.3467881,"Währinger Gürtel 18-20, 1090 Wien, Austria",01 404000,https://www.akhwien.at/,Vienna General Hospital,https://maps.google.com/?cid=10179632010034639920
Austria,Wien,Goldenes Kreuz,48.217636,16.347073,"Lazarettgasse 16-18, 1090 Wien, Austria",01 401110,https://www.privatklinik-goldenes-kreuz.at/?utm_source=google&utm_medium=gbp&utm_campaign=localseo,Golden cross BetriebsgmbH private clinic,https://maps.google.com/?cid=14368322178315468739
Austria,Wien,GYNANDRON Dr. Freude,48.1814808,16.3309756,"Niederhofstraße 30, 1120 Wien, Austria",01 8109525,http://www.sterilitaet.at,Gynandron,https://maps.google.com/?cid=17933596007032675486
Austria,Wien,Wunschbaby-Zentrum Feichtinger,48.186026,16.2974629,"Lainzer Str. 6, 1130 Wien, Austria",01 8777775,https://www.wunschbaby.at/,"Wunschbaby Institut Feichtinger Wien, Kinderwunsch-Zentrum Wien",https://maps.google.com/?cid=9777757205758173973
Austria,Wien,Vivaneo Kinderwunschklinik,48.2069998,16.3884809,"Marxergasse 7/13, 1030 Wien, Austria",01 36110300,https://www.vivaneo.at/de/kinderwunschklinik-wien/,VivaNeo Kinderwunschklinik Dr. Loimer Wien Standort Wien Mitte,https://maps.google.com/?cid=8608124901522445817
Austria,Wien,Die Wunschkind Klinik,48.21231,16.35794,"Ebendorferstraße 6/4, 1010 Wien, Austria",01 4025341,https://www.wunschkind.at/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,"Wunschkind Klinik Dr. Brunbauer, Wien",https://maps.google.com/?cid=9289996003235694263
Austria,Wien,Fertilitätszentrum Döbling,48.2388615,16.3585956,"Heiligenstädter Str. 55-65/5. Stock, 1190 Wien, Austria",01 360665050,https://www.kinderwunschzentrum-doebling.at/?utm_source=google&utm_medium=gbp&utm_campaign=localseo,Kinderwunschzentrum Döbling,https://maps.google.com/?cid=4491991236877139176
Austria,Wiener Neustadt,Tiny Feet Kinderwunschklinik,47.8118634,16.2370606,"Ferdinand-Porsche-Ring 8, 2700 Wiener Neustadt, Austria",02622 64493,https://www.tinyfeet.at/,Tiny Feet fertility clinic - Dr. Rathmanner,https://maps.google.com/?cid=2232682160023211402
Austria,Wels-Thalheim,Vivaneo Kinderwunschklinik Dr. Loimer GmbH,48.1539737,14.0350243,"Traunufer Arkade 1, 4600 Thalheim bei Wels, Austria",07242 224466,https://kinderwunschklinik.at/,TFP Kinderwunsch Wels,https://maps.google.com/?cid=13258320607188017290
Austria,Wels-Thalheim,IVF- und Kinderwunschinstitut Prof. Dr. Tews GmbH & Co KG,48.155842,14.0058041,"Salzburger Str. 65/1. Stock, 4600 Wels, Austria",07242 909090410,http://www.ivy-kinderwunsch.at/,IVF- und Kinderwunschinstitut Prof. Dr. Tews GmbH & Co KG,https://maps.google.com/?cid=15678021736019088757
Belarus,Minsk,"Center of assisted reproduction ""Embryo""",53.9126748,27.3776289,"Pereulok Olimpiyskiy 117, Tarasovo, Minskaja voblasć 223018, Belarus",8 029 333-89-13,https://embryo.by/,Yembrio Centr Vspomogatel'Noi Reprodukcii Odo Belivpul,https://maps.google.com/?cid=13470702922150450004
Belarus,Minsk,GU Republican Scientific Practical Center “Mother and Child”,53.9164343,27.6316466,"vulica Filimonava 23, Minsk, Minskaja voblasć 220114, Belarus",8 017 374-24-41,http://belriem.by/,The Republican Research and Practical Center for Epidemiology and Microbiology,https://maps.google.com/?cid=16291249607315397592
Belarus,Minsk,EVA CLINIC IVF,53.9058534,27.5583826,"vulica Hiercena 12, Minsk, Minskaja voblasć, Belarus",8 017 302-00-00,http://evaclinicivf.by/,Eva Clinic,https://maps.google.com/?cid=7025524156625688982
Belarus,Minsk,City Clinical Maternity Hospital #2,53.8967779,27.4789417,"vulica Bieĺskaha 60, Minsk, Minskaja voblasć, Belarus",8 017 390-06-42,http://www.gor-roddom2.by/,2nd Maternity Hospital,https://maps.google.com/?cid=13360326236051516921
Belarus,Minsk,Multi-field Medical Company “LODE”,53.9183037,27.5903141,"prasp. Niezaliežnasci 58а, Minsk, Minskaja voblasć 220005, Belarus",8 017 293-98-00,https://www.lode.by/,LODE Medical Center,https://maps.google.com/?cid=7501015066730703342
Belarus,Gomel,"Public health institution «Gomel Regional Diagnostic Center of Medical Genetics with consultation ""Marriage and Family""",52.4052543,31.0454639,"Dobrušskaja vulica, Homieĺ, Homieĺskaja voblasć, Belarus",8 0232 35-62-33,http://www.gokpb.by/,Homieĺ Regional Psychiatric Clinical Hospital,https://maps.google.com/?cid=278362371952638839
Belarus,Vitebsk,Family Health Center “Bina”,55.1964426,30.2643203,"praspiekt Frunze 83ж, Viciebsk, Viciebskaja voblasć, Belarus",8 033 604-00-03,https://binaclinic.by/,"Центр семейного здоровья ""БИНА""",https://maps.google.com/?cid=6153801816366679093
Belgium,Antwerpen,"ZNA Middelheim, Centrum voor Reproductieve Geneeskunde",51.1817753,4.4212415,"Lindendreef 1, 2020 Antwerpen, Belgium",03 280 31 11,https://www.zas.be/locaties/zas-middelheim,ZAS Middelheim,https://maps.google.com/?cid=7715170990526496410
Belgium,Braine - L’alleud,"C.H. Interregional Edith Cavell (CHIREC), Centre de Fécondation",50.8139343,4.3578839,"Rue Général Lotz 37, 1180 Uccle, Belgium",02 434 81 01,http://www.chirec.be/,Edith Cavell Hopital Center,https://maps.google.com/?cid=2791168405676428940
Belgium,Brugge,"AZ Sint-Jan – Brugge-Oostende AV, CRG Brugge-Kortrijk",51.2201147,3.1934588,"Ruddershove 10, 8000 Brugge, Belgium",050 45 21 11,https://www.azsintjan.be/,AZ Sint-Jan Brugge AV,https://maps.google.com/?cid=2409380989367067220
Belgium,Brussel,"UZ Brussel, Centrum voor Reproductieve Geneeskunde",50.8883543,4.3078362,"VUB - Vrije Universiteit Brussel Jette Bldg R, Laarbeeklaan 101، 1090 Jette, Belgium",02 477 66 99,http://www.brusselsivf.be/,"Brussels IVF, centrum voor reproductieve geneeskunde",https://maps.google.com/?cid=8306486758630282472
Belgium,Brussel,"Hôpital Universitaire Saint- Pierre - U.L.B., Clinique de Procréation Médicalement Assistée",50.8343389,4.3471366,"Rue aux Laines 105, 1000 Bruxelles, Belgium",02 535 31 11,https://www.stpierre-bru.be/,CHU Saint-Pierre,https://maps.google.com/?cid=570694375791014165
Belgium,Brussel,"Cliniques Universitaires Saint-Luc - U.C.L., Service de Gynécologie",50.8526308,4.4523835,"Av. Hippocrate 10, 1200 Bruxelles, Belgium",02 764 11 11,http://www.saintluc.be/,Cliniques universitaires Saint-Luc (UCLouvain),https://maps.google.com/?cid=15168751452666054110
Belgium,Brussel,"Hôpital Erasme, Centre de FIV de l’U.L.B.",50.8135115,4.2658168,"Rte de Lennik 808, 1070 Bruxelles, Belgium",02 555 31 11,http://www.erasme.ulb.ac.be/,Hospital Erasme,https://maps.google.com/?cid=10343109267844375841
Belgium,Charleroi,"GHdC, Clinique Notre Dame, Service Gyn/Obst",50.4179153,4.4539194,"Grand'Rue 3, 6000 Charleroi, Belgium",071 10 21 11,http://www.ghdc.be/,Grand Hôpital De Charleroi - Notre Dame,https://maps.google.com/?cid=12730397556832125063
Belgium,Edegem,"Universitair Ziekenhuis Antwerpen, Centrum voor Reproductieve Geneeskunde",51.1569532,4.4115492,"Drie Eikenstraat 655, 2650 Edegem, Belgium",03 821 30 00,http://www.uza.be/,Antwerp University Hospital,https://maps.google.com/?cid=9832961417892852167
Belgium,Genk,"Ziekenhuis Oost-Limburg - St. Jan,  Genk Institute for Fertility Technology - GIFT",50.9570769,5.5180371,"Synaps Park 1, 3600 Genk, Belgium",089 32 50 50,https://www.zol.be/,Hospital Oost-Limburg,https://maps.google.com/?cid=322707575367173097
Belgium,Gent,"U.Z. – Gent, Vrouwenkliniek- afdeling Reproductieve Geneeskunde",51.0243683,3.7261567,"Corneel Heymanslaan 10, 9000 Gent, Belgium",09 332 21 11,https://www.uzgent.be/,Ghent University Hospital,https://maps.google.com/?cid=4942767794754474651
Belgium,Gent,"A.Z. Jan Palfijn, Centrum voor Fertiliteitstherapie,",51.0492268,3.7002027,"Watersportlaan 5, 9000 Gent, Belgium",09 224 71 11,http://www.janpalfijn.be/,Az Jan Palfijn,https://maps.google.com/?cid=2583443946605955937
Belgium,Leuven,"Universitaire Ziekenhuizen K.U.Leuven Gasthuisberg, Dienst Gynaecologie",50.8790552,4.6717377,"Herestraat 49, 3000 Leuven, Belgium",016 33 22 11,https://www.uzleuven.be/,UZ Leuven,https://maps.google.com/?cid=17403131133336741543
Belgium,Leuven,"Regionaal Ziekenhuis Heilig Hart, Unit Reproductieve Geneeskunde",50.8716884,4.7010632,"Hendrik Consciencestraat 33, 3000 Leuven, Belgium",,,Leveringen Regionaal Ziekenhuis Heilig Hart,https://maps.google.com/?cid=7028057945667923343
Belgium,Libramont,"Centre Hospitalier de l'Ardenne, Centre d’Infertilit,",49.9253759,5.3803286,"Av. de Houffalize 35, 6800 Libramont-Chevigny, Belgium",063 55 13 00,https://www.vivalia.be/hopital-de-libramont,Hôpital Vivalia De Libramont,https://maps.google.com/?cid=8608221807275966831
Belgium,Liege,"Centre Hospitalier Régional de la Citadelle, Centre de FIV",50.6522256,5.5777785,"Bd du Douzième de Ligne 1, 4000 Liège, Belgium",04 321 65 75,http://www.cpma-ulg.be/,CPMA-ULiège CHR Citadelle,https://maps.google.com/?cid=14469368203227812546
Belgium,Liege,"Clinic CHC MontLégia, Centre de Procréation Médicalement Assistée",50.6467729,5.5355587,"Boulevard Patience et Beaujonc 2, 4000 Luik, Belgium",04 355 50 00,https://www.chc.be/Etablissements/Clinique-CHC-MontLegia,CHC Montlégia Clinic,https://maps.google.com/?cid=10773713508332356677
Belgium,Namur,"Centre Hospitalier Régional de Namur, Service PM,",50.4674355,4.8874258,"Av. Albert Ier 185, 5000 Namur, Belgium",081 72 61 11,https://meuse.chrsm.be/,Chrsm - Site Meuse,https://maps.google.com/?cid=8469460703132309040
Bosnia and Herzegovina,Banja Luka,"Medical center « Medico-S », member of Pronatal group, Republic of Srpka, BiH",44.7770943,17.1902508,"Jovan Ducica 68, 78 000, Banja Luka 78000, Bosnia and Herzegovina",051 232-100,http://www.medico-s.com/sh,"Medico S, članica grupacije Pronatal",https://maps.google.com/?cid=5464993698433787922
Bosnia and Herzegovina,Tuzla,BH IVF Centre « Dr Balic »,44.5422391,18.6733764,"Kojšino 25, Tuzla 75000, Bosnia and Herzegovina",061 140 222,http://balic.ba/,IVF Tuzla,https://maps.google.com/?cid=9759746840343182177
Bulgaria,Burgas,UMBAL “Burgas”,42.5133555,27.4650934,"g.k. Zornitsa, ж.к. Зорница 9, 8018 Burgas, Bulgaria",056 894 729,http://www.mbalburgas.com/,Burgas Main Hospital,https://maps.google.com/?cid=10796259507988598023
Bulgaria,Pleven,Medical Center “KIRM”,43.4028236,24.6153184,"Pleven Center, ul. ""General Skobelev"" 20, 5804 Pleven, Bulgaria",064 804 790,http://ivfpleven.com/,Medical Center Clinical Institute for Reproductive Medicine,https://maps.google.com/?cid=17264743223242220307
Bulgaria,Pleven,Medical Center “Repromed”,43.41705,24.62021,"Pleven Center, ul. ""Vasil Aprilov"" 14, 5809 Pleven, Bulgaria",064 803 023,http://repromed.bg/,Meditsinski Center Repromed,https://maps.google.com/?cid=17203842398290886359
Bulgaria,Plovdiv,Medical Center “Bora”,42.139445,24.7286532,"Plovdiv, Peshtersko shose St 47, TsentarPlovdiv Center, 4002 Plovdiv, Bulgaria",032 640 154,http://www.boramedical.com/,IN VITRO CLINIC AND ASSISTED REPRODUCTION BORA,https://maps.google.com/?cid=4589070492200094217
Bulgaria,Plovdiv,USBALAG “Selena”,42.1347018,24.7094909,"Western Industrial ZoneZapaden, bul. ""Peshtersko Shose"" 80, 4002 Plovdiv, Bulgaria",032 648 020,http://agselena.com/,Hospital for Ob-Gyn Selena,https://maps.google.com/?cid=9407449252799344485
Bulgaria,Plovdiv,SMCG “New Life”,42.1323907,24.742257,"бул.""Македония"" 2В, Southern Industrial ZoneYuzhen, 4013 Plovdiv, Bulgaria",032 693 693,http://www.newlifeclinic.bg/,IVF clinic NewLife,https://maps.google.com/?cid=12392460897762653484
Bulgaria,Sofia,SAGBAL “Dr Shterev”,42.7000717,23.2874003,"ж.к. Разсадника - Коньовица, ul. ""Hristo Blagoev"" 25-31, 1330 Sofia, Bulgaria",02 920 0901,http://shterevhospital.com/,"Medical complex ""Dr. Shterev""",https://maps.google.com/?cid=6312953782101753071
Bulgaria,Sofia,MBAL Vita,42.6562332,23.3207241,"Промишлена зона Хладилника, ul. ""Filip Kutev"" 10, 1407 Sofia, Bulgaria",02 452 2000,https://vita.bg/,Vita Hospital,https://maps.google.com/?cid=16959584829531575720
Bulgaria,Sofia,Medical Center “Afrodita”,42.6589928,23.3153341,"Hladilnika, ul. „Henrik Ibsen“ 15, 1407 Sofia, Bulgaria",02 806 0060,https://afroditamc.com/,MEDICAL CENTER AFRODITA,https://maps.google.com/?cid=9390705297088205350
Bulgaria,Sofia,IVF Clinic Medical Center “Dimitrov”,42.6586626,23.377027,"Mladost 1Mladost, ul. ""Doctor Stoyan Chomakov"" 2, 1750 Sofia, Bulgaria",088 823 2200,https://invitro.bg/,ИНВИТРО АГ МЕДИЦИНСКИ ЦЕНТЪР ДИМИТРОВ,https://maps.google.com/?cid=10530848561108120345
Bulgaria,Sofia,Medical Center “Nadejda Reproductiv Sofia”,42.6887391,23.2745397,"ж.к. Красна поляна 2, ул. „Блага вест“ 3, 1330 Sofia, Bulgaria",02 441 7970,https://www.nadezhdahospital.com/,Nadezhda Hospital,https://maps.google.com/?cid=14874346684476978894
Bulgaria,Sofia,SBALGAR “Malinov”,42.6468544,23.376133,"ж.к. Младост 2Младост, 1799 София, Bulgaria",,,Aleksandar Malinov,https://maps.google.com/?cid=5648483543421875248
Bulgaria,Sofia,Medical Center “Reprobiomed”,42.6751492,23.2618539,"кв. Овча купел, ul. ""Boycho Ognyanov"" 28, 1618 Sofia, Bulgaria",02 855 0102,http://reprobiomed.eu/,Reprobiomed Medical Center,https://maps.google.com/?cid=18131242842419153357
Bulgaria,Sofia,PSAGBAL “St Sofia”,42.6994422,23.288995,"ж.к. Разсадника - Коньовица, ul. ""Mihalaki Tashev"" 2, 1330 Sofia, Bulgaria",02 447 0211,http://www.1agb.com/,"First Gynecological Hospital ""St. Sofia""",https://maps.google.com/?cid=7410460113164498837
Bulgaria,Sofia,SBALAGRM “Sofia”,42.6593324,23.3363828,"Loven, Boulevard ""Simeonovsko Shose 4А, 1700 Sofia, Bulgaria",02 962 2005,http://www.st.lazar-hospital.com/,""" Saint Lazar "" Obstetrics and Gynecology Hospital",https://maps.google.com/?cid=10960748626902823914
Bulgaria,Sofia,SBALAG “Maichin Dom”,42.6835714,23.3120894,"Sofia Center, ul. ""Zdrave"" 2, 1431 Sofia, Bulgaria",02 917 2200,http://www.maichindom.com/,Mother's Home Specialized Obstetrics & Gynecology Hospital,https://maps.google.com/?cid=4614775859115163678
Bulgaria,Sofia,SBAL “St. Lazar”,42.6593324,23.3363828,"Loven, Boulevard ""Simeonovsko Shose 4А, 1700 Sofia, Bulgaria",02 962 2005,http://www.st.lazar-hospital.com/,""" Saint Lazar "" Obstetrics and Gynecology Hospital",https://maps.google.com/?cid=10960748626902823914
Bulgaria,Sofia,Medical Center “Adela Fertility”,42.6667744,23.3499455,"НПЗ Дианабад, ul. ""Tintyava"" 15Г, 1000 Sofia, Bulgaria",0700 10 992,https://adellaclinic.com/,Adella Clinic,https://maps.google.com/?cid=13101344957649092121
Bulgaria,Sofia,MBAL for women’s health “Nadejda”,42.6887391,23.2745397,"ж.к. Красна поляна 2, ул. „Блага вест“ 3, 1330 Sofia, Bulgaria",02 441 7970,https://www.nadezhdahospital.com/,Nadezhda Hospital,https://maps.google.com/?cid=14874346684476978894
Bulgaria,Sofia,"Acibadem city clinic Tokuda, MBAL “Doverie”",42.6649031,23.3250081,"Промишлена зона Хладилника, bul. ""Nikola Y. Vaptsarov"" 51Б, 1407 Sofia, Bulgaria",02 403 4000,https://acibademcityclinic.bg/tokuda,Tokuda Hospital and Acibadem City Clinic,https://maps.google.com/?cid=6895513654085055130
Bulgaria,Sofia,Medical Center “Neo Vitro,42.6771506,23.302651,"ж.к. Стрелбище, blvd ""Petko Y. Todorov"" 20, 1408 Sofia, Bulgaria",087 535 6300,http://www.neovitro.bg/,Medical IVF center NEOVITRO,https://maps.google.com/?cid=17217121496483196671
Bulgaria,Shumen,ASMP-MC “St. Ivan Rilski”,43.2726184,26.9218837,"Shumen Center, pl. ""Vazrazhdane"" 1, 9700 Shumen, Bulgaria",054 800 806,http://invitroshumen.bg/,"Medical Center ""St. Ivan Rilski""",https://maps.google.com/?cid=9887113530919755088
Bulgaria,Stara Zagora,Medical Center “In vitro Trakia”,42.4234079,25.6354514,"кв. Опълченски, bul. ""Sveti Patriarh Evtimiy"" 84, 6000 Stara Zagora, Bulgaria",042 988 988,http://www.trakiahospital.com/,"Hospital ""Trakia"" - Center",https://maps.google.com/?cid=6570069749835602285
Bulgaria,Tutrakan,Medical Center “St. Ivan Rilski”,44.0457533,26.6000073,"ul. ""Trаnsmаriskа"" 69, 7600 Tutrakan, Bulgaria",,,Медицински център „Св. Иван Рилски” – Тутракан,https://maps.google.com/?cid=5886451491551983102
Bulgaria,Varna,AMCSMP “Maichin Dom”,43.2200856,27.9265049,"LevskiPrimorski, ul. ""Mir"" 1, 9010 Varna, Bulgaria",052 332 000,http://www.maichindom-varna.com/,Medical Complex for Ob-Gyn Maychin Dom,https://maps.google.com/?cid=4612355155969835124
Bulgaria,Varna,MCAR “Varna”,43.2276765,27.8617213,"9023, СеверВладислав Варненчик, бул. „Владислав Варненчик“ 320, 9023 Варна, Bulgaria",052 918 093,https://bmw-mcarvarna.bg/,М Кар,https://maps.google.com/?cid=4682496697272159096
Bulgaria,Varna,MCRM “Nova radost”,,,,,,,
Bulgaria,Varna,ASMPMC “Olimed”,43.2108928,27.9070566,"Varna CenterOdesos, ul. ""Aleko Konstantinov"" 5, 9000 Varna, Bulgaria",052 600 027,http://www.olimed-invitro.eu/,IN VITRO CLINIC OLIMED VARNA,https://maps.google.com/?cid=4058859163548477915
Czech Republic,Brno,Gyn. - por. klinika FN Brno-CAR01,49.1984506,16.5963875,"Obilní trh 526/11, 602 00 Brno-střed-Veveří, Czechia",532 231 111,http://www.fnbrno.cz/,University Hospital Brno - Maternity Hospital,https://maps.google.com/?cid=15383644256146148348
Czech Republic,Brno,"MUDr. Aleš Bourek, PhD.",49.2080906,16.6266583,"Svitavská 836/33, 614 00 Brno-sever, Czechia",603 477 645,http://www.ivf.cz/,MUDr. Aleš Bourek,https://maps.google.com/?cid=14948583314905516592
Czech Republic,Brno,Reprofit International s.r.o.,49.191034,16.5785532,"Hlinky 48/122, 603 00 Brno-střed, Czechia",543 516 001,https://www.reprofit.cz/cs/kliniky/reprofit-brno/#predstaveni-kliniky,Reprofit International Brno,https://maps.google.com/?cid=262183053452572166
Czech Republic,Brno,Reprogenesis a.s Klinika reprodukční mediciny,49.1933679,16.5731364,"Hlinky 144, 603 00 Brno-střed, Czechia",530 338 338,http://www.reprogenesis.com/,IVF clinic ReproGenesis,https://maps.google.com/?cid=11868587908500401696
Czech Republic,Brno,"Repromeda, s.r.o.",49.1784513,16.5718926,"Biology Park, Studentská 6, 625 00 Brno-Bohunice, Czechia",545 212 212,https://www.repromeda.cz/,REPROMEDA Biology Park,https://maps.google.com/?cid=12787092154306801911
Czech Republic,Brno,"Sanatorium Helios, s.r.o.",49.2085832,16.6045449,"Štefánikova 12/81, Ponava, 602 00 Brno-Brno-Královo Pole, Czechia",549 523 211,https://www.sanatoriumhelios.cz/,sanatorium Helios,https://maps.google.com/?cid=13935088540026628222
Czech Republic,Brno,"Unica, s.r.o.",49.1986569,16.5786823,"Barvičova 833/53, 602 00 Brno-střed-Stránice, Czechia",543 217 777,http://www.unica.cz/,UNICA Brno,https://maps.google.com/?cid=2870197010161496416
Czech Republic,Ceské Budejovice,"Pronatal Repro, s.r.o.",48.98191,14.4785343,"33, Fráni Šrámka 1169, 370 01 České Budějovice-České Budějovice 1, Czechia",386 354 890,https://pronatal.cz/,"PRONATAL Repro, Ltd.",https://maps.google.com/?cid=313387916579209958
